Date,AndhraPradesh,Telangana,Karnataka,Kerala,TamilNadu
01-01-2021,156.4,204.8,207,68.7,246.3
02-01-2021,163,206.4,208.5,68.8,251.7
03-01-2021,157.6,202.1,198.9,64.5,233.6
04-01-2021,163.6,207.1,208.1,70.9,251.7
05-01-2021,166.1,211.7,208.8,72.4,259.4
06-01-2021,164.3,209.2,203.8,70.9,258.7
07-01-2021,156.2,197.1,174.5,69.9,255.1
08-01-2021,162.6,208,180.6,70.1,259.9
09-01-2021,159.6,211,172.7,69.2,258
10-01-2021,163,211.1,165.3,63.7,238.7
11-01-2021,169.2,216,179.4,69.7,251.9
12-01-2021,170.8,218.6,185.1,68.9,250.3
13-01-2021,167.3,220.7,193.1,68,242.4
14-01-2021,157.6,208.8,188.2,68.5,201.1
15-01-2021,158,213.5,202.6,71.2,188.5
16-01-2021,163.6,217,208.5,71.8,200
17-01-2021,168,216.2,199,66.5,203.9
18-01-2021,173.5,224.3,214,70.7,235.4
19-01-2021,179.7,226.5,220.3,71.5,254.1
20-01-2021,181.3,234.1,223.2,73.1,269.5
21-01-2021,185.6,244.3,224.4,75.3,277.5
22-01-2021,184.6,251,228,76.1,287.5
23-01-2021,183.9,252.7,228.5,75.5,288.7
24-01-2021,182.2,239,219.2,68.5,268.7
25-01-2021,183.7,236.9,229.8,72.4,275.5
26-01-2021,183,234.2,219.3,68.2,259.8
27-01-2021,187.1,239.5,230,70.4,275.3
28-01-2021,185.1,243.1,234.1,70.3,286
29-01-2021,185.9,251.6,237,71.4,292.6
30-01-2021,188.1,251.9,235.7,72.7,292.9
31-01-2021,182.1,245.7,223.6,67.8,272.4
01-02-2021,184.1,245,232,74,286
02-02-2021,183.8,240.3,235,74.5,297.1
03-02-2021,183.4,243.5,236.6,75.7,296.9
04-02-2021,184.7,242,236.6,74.9,294
05-02-2021,187.8,244.1,239.5,74.1,299.1
06-02-2021,187.1,241.7,239.1,74.1,293
07-02-2021,181.7,231.8,221.3,66.7,271.1
08-02-2021,187.6,236.2,233.4,71.5,280.7
09-02-2021,187.8,238,239.2,73.5,294.9
10-02-2021,190.5,237.9,243.3,72.4,298.2
11-02-2021,188.7,240.1,240.9,71.8,297.4
12-02-2021,191.1,242.3,244.6,72.9,301.2
13-02-2021,187.4,239.5,243,72.7,303.8
14-02-2021,186.7,240.4,232.8,67.3,278.9
15-02-2021,192.6,246.2,244.2,75.3,297.7
16-02-2021,194.6,246.4,247.3,77.7,309.6
17-02-2021,193.4,249.3,249.1,77.8,312.9
18-02-2021,193.8,247.2,245.5,78.4,313.6
19-02-2021,191.4,235.1,219.9,77.9,319.9
20-02-2021,177,234.4,208.3,77.2,296.3
21-02-2021,166.1,234.8,189.4,69.2,261.3
01-03-2021,205.1,259.4,244.6,81.7,315
02-03-2021,207.8,262.5,253.5,81.5,325.2
03-03-2021,204.7,264,247.3,81.6,322.6
04-03-2021,204.6,265.6,249.5,80.1,324.9
05-03-2021,210.1,268.1,259.9,80.7,333.8
06-03-2021,209.8,265.2,257,81.9,335
07-03-2021,208.4,261.2,245.1,76.8,311.7
08-03-2021,210.3,267,259.8,84.3,333.1
09-03-2021,213,270.3,265,84.8,343.3
10-03-2021,212.2,271.6,265.8,83,342.7
11-03-2021,211.4,273.3,265.8,76.8,337.7
12-03-2021,206.7,269.6,262.2,80.2,336
13-03-2021,198.7,266.2,260.4,80.9,335.8
14-03-2021,209.3,263.8,247.4,76.1,311.2
15-03-2021,213.1,270.4,262.5,84.2,330
16-03-2021,217.5,274,264.6,85.4,346.6
17-03-2021,216.2,275.6,266,87.1,347.1
18-03-2021,215.3,273.9,265.6,87.5,348.9
19-03-2021,211.1,272.9,264.1,87.7,351
20-03-2021,210.7,270.4,260.6,85.5,350
21-03-2021,209.7,264.1,249.2,76.7,322.9
22-03-2021,216.1,273.7,262,83.2,345.8
23-03-2021,217.2,275,267.6,86.4,355
24-03-2021,216.8,278.2,269.4,87.5,355.6
25-03-2021,218.3,277.9,272,85.9,359.1
26-03-2021,219.1,281.4,272,87.1,360.6
27-03-2021,220.7,281.5,276,87.2,362
28-03-2021,218.7,277.1,259.2,77.5,334.2
29-03-2021,219.6,270.9,261,80,341.7
30-03-2021,219.5,275,265.1,82.7,352.5
31-03-2021,225,278.8,272.2,87.2,359.7
01-04-2021,226.1,280,273,85.1,366.4
02-04-2021,234.1,282.7,277.1,77.6,367.2
03-04-2021,231.5,286.1,277.5,83.1,367.8
04-04-2021,221.4,276.9,266,77.2,351.3
29-03-2021,219.6,270.9,261,80,341.7
30-03-2021,219.5,275,265.1,82.7,352.5
31-03-2021,225,278.8,272.2,87.2,359.7
01-04-2021,226.1,280,273,85.1,366.4
02-04-2021,234.1,282.7,277.1,77.6,367.2
03-04-2021,231.5,286.1,277.5,83.1,367.8
04-04-2021,221.4,276.9,266,77.2,351.3
05-04-2021,222.6,272.3,276,87.8,363.1
06-04-2021,219.4,269.1,280.5,84.4,310.2
07-04-2021,221.5,268.9,277.7,87.3,353.3
08-04-2021,217.5,263.4,275.1,86.5,364
09-04-2021,217.8,258.4,271.9,87.9,372.7
10-04-2021,213.1,252.3,273,87.7,372.8
11-04-2021,213.9,245,259.9,79.5,351.5
12-04-2021,216.3,236.3,261.2,79.2,355
13-04-2021,210.9,219.9,242.6,78.4,355.9
14-04-2021,205.1,190.6,230.7,73.2,330.7
15-04-2021,177.5,196.5,219,77.8,308.9
16-04-2021,196.2,209.8,234.9,78.9,326
17-04-2021,201,214.5,241.3,80,334.6
18-04-2021,206,208,230.5,74.6,319.9
19-04-2021,209.8,213.8,240.6,81.4,340.4
20-04-2021,207.8,210.5,237.5,78.7,348.5
21-04-2021,208.3,202.7,238.8,79.1,353.2
22-04-2021,205,193,227,80.8,354.4
23-04-2021,193,181.8,210.6,81.4,357.1
24-04-2021,193.5,185.4,201.4,77.9,356.7
25-04-2021,195.8,183.7,200.2,72.3,321.1
26-04-2021,204.3,187.6,214.8,80.4,349.7
27-04-2021,204.9,182.7,223.1,81.9,360.9
28-04-2021,206.2,182.2,223.3,82.8,366.3
29-04-2021,206,180.9,221,84.6,371.2
30-04-2021,202.9,175.7,210.1,83,369
01-05-2021,195.1,166.5,202.5,73.6,335.4
02-05-2021,196.7,166,198.3,74.2,319.1
03-05-2021,201.3,163.9,211.6,77.9,343.1
04-05-2021,202.9,165.6,213.7,75.7,353.6
05-05-2021,200.7,162.8,208.6,75.7,352.5
06-05-2021,200.4,162,208.9,78.6,353.5
07-05-2021,201.8,166.3,207.7,75.8,347.1
08-05-2021,201.6,166.3,203.1,72.3,339.3
09-05-2021,201.3,164.1,198.9,71,316.2
10-05-2021,207.4,166.5,196.8,73.1,319.2
11-05-2021,195.2,165.3,190.8,72.1,329.3
12-05-2021,178.9,153.9,188.3,69.4,330.5
13-05-2021,188.3,154.4,183.5,65.2,315.8
14-05-2021,187.8,156.2,180.9,54.2,306.6
15-05-2021,186.4,147.8,159.6,48.7,288.2
16-05-2021,182.8,137.2,144.3,52.7,270.4
17-05-2021,189.3,147.5,169.7,58.3,287.4
18-05-2021,193.3,151.5,176.7,61.3,303.8
19-05-2021,196.4,155,179.2,61.7,298.2
20-05-2021,184.8,149,180.3,62.5,288.9
21-05-2021,170.7,154,177.8,62,266.3
22-05-2021,160.4,151.7,172.6,61.3,262.8
23-05-2021,161.1,149.9,168.4,61.7,253.7
24-05-2021,168.3,151.7,177.1,67,256.6
25-05-2021,172.5,153.7,178.2,66.7,250.3
26-05-2021,171.2,155.2,171.3,61.5,240
27-05-2021,178.5,155.3,180.7,61.8,257.2
28-05-2021,196.4,157.7,194,65.3,270.2
29-05-2021,203.5,162.6,198.6,65.1,273.9
30-05-2021,201.6,155.2,192.6,63.4,278.6
31-05-2021,204.2,160.4,205.9,68.1,285.4
01-06-2021,199.7,158.4,210.7,68.1,293.5
02-06-2021,194.1,153.6,207.7,70.6,304.2
03-06-2021,172.6,140.3,174.5,71.2,299.9
04-06-2021,174.9,146.7,160.3,68.4,288.9
05-06-2021,175.6,146.7,151.5,63.2,273.7
06-06-2021,181.3,155.7,160.5,68.7,288.9
07-06-2021,181.3,155.7,160.5,68.7,288.9
08-06-2021,186.8,158.8,173.9,70.6,299.4
09-06-2021,187.5,153.3,177.2,69.7,303.3
10-06-2021,182.7,148.5,180.3,68.7,313.3
11-06-2021,173.3,137.7,182.7,69.9,319.6
12-06-2021,171.1,140.7,179.5,63.6,311.6
13-06-2021,170.5,139.2,162.3,58.1,282.8
14-06-2021,175.2,137.3,168.3,59.5,289.3
15-06-2021,179.8,141.8,167.9,62.2,316.4
16-06-2021,185.7,144.8,159.2,63.7,323.9
17-06-2021,182.5,161.6,153.7,64.5,330.9
18-06-2021,184.9,170.9,162.1,68,336.9
19-06-2021,186.7,182,161.7,64.2,327.4
20-06-2021,187.7,187.4,156.5,62,318.2
21-06-2021,198.3,205.9,176.4,68.8,334.9
22-06-2021,203.4,213.1,187,69.7,332.6
23-06-2021,197.3,222.9,195.5,71.2,330
24-06-2021,189,217.2,197.4,69.6,316.2
25-06-2021,192.3,223.9,195.4,72.5,328.3
26-06-2021,195.4,228.2,196.3,66.6,329.6
27-06-2021,177.2,197.7,164.9,62.1,301.2
28-06-2021,179.7,203,184.2,69.7,314.3
29-06-2021,195.3,225.8,199.4,71.7,344.9
30-06-2021,199.3,234.3,211,75.2,349.8
01-07-2021,189.8,230.8,215.9,73.2,336.8
02-07-2021,179.6,214.9,212.6,72.3,316.7
03-07-2021,176,226.9,210.5,69.2,319.9
04-07-2021,172.6,223.6,199.5,66.1,290.5
12-07-2021,163.7,168.6,165.7,63.3,296.2
13-07-2021,164.4,166.7,166.3,64.3,310.7
14-07-2021,159.7,159.1,160.3,63.4,309
15-07-2021,154.1,155.1,153.1,65.1,297.4
16-07-2021,160.2,173.3,159.2,66.1,302.9
17-07-2021,163,184.7,158.9,62.5,295.7
18-07-2021,157.8,188.4,136.2,58.2,258
05-07-2021,171.9,219.9,196.4,72.1,300.4
06-07-2021,179.8,216,200.2,73.1,322.1
07-07-2021,182.5,211.4,194.8,75.6,323.1
08-07-2021,174.3,173.1,191.6,74.9,322.8
09-07-2021,170.3,183.9,185.9,73,307.8
10-07-2021,166.2,180,171.8,61.8,290.9
11-07-2021,161.3,165.4,152.5,56.5,264.1
19-07-2021,161.7,187.8,146.9,65.8,289.8
20-07-2021,164,193.6,147.5,68.5,304.9
21-07-2021,156.7,155.3,140.8,64.6,309.9
22-07-2021,142,134.4,145.6,65.9,306.9
23-07-2021,149.1,144.2,144.8,67.8,313
24-07-2021,160.1,160.4,145.6,64.2,318.7
25-07-2021,169.1,177,131.5,60.1,296.6
26-07-2021,175.8,194.4,149.1,67.6,315.2
27-07-2021,186.7,214.8,161.3,68.4,326.2
28-07-2021,192.4,219.9,170,69.8,333.1
29-07-2021,194.6,218,175.5,69.6,337.7
30-07-2021,196.3,218.6,182.1,70.6,345.4
31-07-2021,196.6,217,182.2,67.4,339.4
01-08-2021,194.4,214,170.1,63.9,316.8
02-08-2021,205.9,225.4,190.1,70,337.3
03-08-2021,209.6,233.7,195.6,69.6,342.3
04-08-2021,213.8,237.4,192.8,70.1,349.1
05-08-2021,219.5,240.5,194.8,70.3,352.4
06-08-2021,216.6,237.5,195.6,69.4,350.2
07-08-2021,219.2,242.5,194.4,67.6,334.7
08-08-2021,214.7,235.3,186.1,61.3,315.8
09-08-2021,216.9,242.3,201.6,69.2,337.7
10-08-2021,201.5,249,204.6,70.7,343.9
11-08-2021,206.1,249.2,203.6,70.9,343.5
12-08-2021,212.3,251,202.3,69.3,331.5
13-08-2021,204.7,238.2,198.4,69.2,335.5
14-08-2021,194.2,236.6,198.1,67.1,329.4
15-08-2021,187.3,230.8,181.8,61.4,287.3
16-08-2021,185.2,184.3,195.7,69.1,321.6
17-08-2021,179.8,173.5,191.7,71.2,329.1
18-08-2021,188.7,174.1,188.3,70.7,322.8
19-08-2021,195.5,186.9,191.9,69.7,328
20-08-2021,195.9,199.7,195.2,67.9,330.2
21-08-2021,187.9,200.4,192.5,63.1,310.9
22-08-2021,182.4,192.5,169.6,63.3,283.9
23-08-2021,189.3,210.5,180.4,68.4,301.2
24-08-2021,196.4,228.9,185.7,71.8,312.5
25-08-2021,194,232.4,188.8,73.5,324.4
26-08-2021,190.8,204.7,195.8,72.9,326.3
27-08-2021,187.6,203.8,191,70.5,317.6
28-08-2021,172.6,190.3,180,68.4,306.5
29-08-2021,172,164.6,154.7,59.2,269.4
30-08-2021,173.4,154.1,167.7,66.2,298.5
31-08-2021,178.1,152.7,176.6,71.2,317.8
01-09-2021,181.5,161,185.4,72.5,320.5
02-09-2021,179.8,178,185.6,72.2,308.8
03-09-2021,176.9,171.7,178.9,71.8,296.6
04-09-2021,178.6,165.6,169.3,69.3,289
05-09-2021,172.1,150.1,150.6,61.2,259.8
06-09-2021,165.7,147,159.7,67.7,280.1
07-09-2021,168.6,136.3,160.3,69.9,297.2
08-09-2021,176.9,150.1,163.7,71.5,312
09-09-2021,186.6,168.2,177.5,73.1,322
10-09-2021,186.6,182,168.6,73.1,315.1
11-09-2021,183.6,186,176.9,72.7,326.7
12-09-2021,187.6,192.8,166.4,65.1,302.7
13-09-2021,194,198,178.8,69.4,326.2
14-09-2021,198.7,191.6,187,72.7,339.4
15-09-2021,205.1,209.1,195,74,350.1
16-09-2021,211.8,225.1,203.6,73.3,341.6
17-09-2021,211.8,225.1,203.6,73.3,341.6
18-09-2021,209.3,240.1,216.2,74.5,321.7
19-09-2021,205,231,209.8,69.6,307.2
20-09-2021,202.1,216.5,219.4,76.7,313.2
21-09-2021,205.8,190.4,205.7,77.7,314.9
22-09-2021,197.2,182.9,205,77.8,326.3
23-09-2021,197.7,185.7,204,77.5,321.9
24-09-2021,192,191.5,207.9,77.1,318.5
25-09-2021,194.7,201.9,206.7,77.7,319.1
26-09-2021,182.9,183.4,192.6,70.7,288.9
27-09-2021,164.5,163.3,196.8,63.1,301
28-09-2021,182.1,152.9,193.4,69.1,315.7
29-09-2021,187.6,169.9,199.7,72.2,326.8
30-09-2021,188.7,190.6,208.7,74.2,328.8
01-10-2021,189.6,201.5,201.4,74.4,306.3
02-10-2021,188.3,195,170.4,68.7,279.1
03-10-2021,191.1,193.8,165.8,65.3,261.4
04-10-2021,198,202,182.2,73.2,294.7
05-10-2021,195.7,197.4,183.6,74,295.6
06-10-2021,182.8,201,169.1,74.4,290.1
07-10-2021,181.3,209.8,168.5,75.7,303.2
08-10-2021,180.2,210.1,170.6,75.2,308.1
09-10-2021,175.2,187.3,165.7,71.7,290.3
10-10-2021,176.7,185.2,152.2,66.6,270.8
11-10-2021,182.6,198.3,164.7,71.1,288.1
12-10-2021,185.4,204.9,166.4,69,287.2
13-10-2021,184.5,206.2,164.3,70.7,291.2
14-10-2021,191,204.9,162.8,69.7,265.3
15-10-2021,185.6,192.5,149.9,71.4,286
16-10-2021,182,169.3,159.2,69.4,290.1
17-10-2021,191.8,182.9,157.4,66.4,295.3
18-10-2021,191.8,176.9,171.9,70.5,296.8
19-10-2021,202,187.2,180.2,72.3,317.1
20-10-2021,201.6,191.8,188.7,73,313.9
21-10-2021,198.6,195.6,185.9,73.1,304.1
22-10-2021,199.3,197.5,183.9,74.8,313.7
23-10-2021,197.8,197.8,182.8,72.7,308.5
24-10-2021,182.6,190.1,163.4,66.7,273.7
25-10-2021,187.4,192.7,177.7,72.9,294.7
26-10-2021,190.2,192.7,180.4,73.9,304.4
27-10-2021,194,190.2,180.8,72.7,311.1
28-10-2021,196.1,189.4,188.1,73.4,303.6
29-10-2021,184.7,188.7,187.7,74,296.6
30-10-2021,176.1,177.7,183.2,73.1,283.8
31-10-2021,172.1,171.3,172.2,66.9,264.9
01-11-2021,167.1,167.9,164.5,71.3,270.7
02-11-2021,163.6,167.2,174.7,71.5,266.9
03-11-2021,160.9,164.1,178.5,71.9,243.9
04-11-2021,150.1,151.3,173.4,67.5,185.2
05-11-2021,155.7,156.6,160.1,71.2,195.9
06-11-2021,162.7,161.4,165.6,73.3,222.5
07-11-2021,160,155.3,160.1,67.7,219.7
08-11-2021,162.9,159.4,172.4,71.5,234.6
09-11-2021,166.3,158.9,174.1,70.8,245.2
10-11-2021,168,159.2,178.6,72,243.5
11-11-2021,153.5,156.8,172.1,73.6,215.5
12-11-2021,150.9,155,169.4,72.5,233.8
13-11-2021,151.7,150.9,169.3,70.3,249.9
14-11-2021,151.9,147,155.4,63.3,231.1
15-11-2021,156.8,152.9,164.3,68.7,253
16-11-2021,156.8,151,161.7,70.2,262.6
17-11-2021,155,150.1,158.1,72,265
18-11-2021,148.8,150.5,155.6,72.3,252.7
19-11-2021,141.1,147.3,146.6,71.9,254.8
20-11-2021,141.8,141.5,143.4,71.5,253.2
21-11-2021,139.7,135.5,130.5,64.9,238.6
22-11-2021,147.7,142.4,147.9,71.7,264.5
23-11-2021,154.2,147.7,150.1,72.8,271.7
24-11-2021,154.9,151.2,147.3,72.8,275.6
25-11-2021,155.6,151.4,147.1,72,268.9
26-11-2021,155.9,153.7,151,71.3,259.1
27-11-2021,153.1,151.6,148.9,71.5,252.6
28-11-2021,143.3,144.5,132.9,65.4,229.4
29-11-2021,142.3,148.1,142.9,70.7,244.5
30-11-2021,143.2,149.6,141.1,71.8,255.9
01-12-2021,145,153,153.5,72.8,258.1
02-12-2021,147.8,158.4,155.3,73.8,265.8
03-12-2021,148.5,162.9,159.3,74.6,274.7
04-12-2021,150.2,161.9,155.6,74.4,263.3
05-12-2021,152.3,158.7,137.6,67.7,249.1
06-12-2021,153.2,166.3,155.2,74.7,266.8
07-12-2021,154.6,171.1,156.7,75.5,277.8
08-12-2021,165.6,172.4,160.7,76,283.3
09-12-2021,160.5,174.2,165.5,76.4,281.8
10-12-2021,159,171.3,163.7,76,282.2
11-12-2021,158.3,171.9,164.5,74.9,280.3
12-12-2021,158.3,170.5,149,69.1,245.3
13-12-2021,162.2,173.8,165.7,75.9,268.1
14-12-2021,164.8,176.9,170.9,76.2,275.2
15-12-2021,166.4,175,174.2,76.7,277.7
16-12-2021,166.7,176,177.9,76.5,282.7
17-12-2021,166.3,179.1,181.7,77,289.7
18-12-2021,163.4,178.4,180.6,76.4,276.4
19-12-2021,160.4,174.6,168.6,69.4,258.6
20-12-2021,165.8,181.1,182.4,74.1,276.6
21-12-2021,167.3,183.1,190.9,74.3,286.8
22-12-2021,168.8,185.5,193.9,74.4,288.5
23-12-2021,170.3,186.7,200.5,74.8,293
24-12-2021,172.6,191.3,203.2,73.7,295.8
25-12-2021,171.3,189.2,199,66.3,287.3
26-12-2021,167.8,185.5,187.1,64.7,263.1
27-12-2021,175.3,191.4,199.9,72.2,287.4
28-12-2021,178.4,196,204.3,72.6,289.4
29-12-2021,179.3,196.9,206.6,72.8,297.1
